name,website,contact,email,email_alts,email_source,tagline,city,market,platforms,status,title,sent,reply
Blocks & Colors,https://www.blocksandcolors.com/,https://blocksandcolors.de/#contact,hi@blocksandcolors.de,,https://www.blocksandcolors.com/,"blocks&colors: KI-Prozessautomatisierung, Web Apps & Webflow. Wir bauen MVPs, automatisieren Prozesse und designen digitale Produkte.",Berlin,western_europe,webflow,200,blocks&amp;colors – KI-Agentur für Web Apps &amp; Automatisierung,,
The Weather,https://theweather.agency/,https://theweather.agency/contact/,hello@theweather.agency,,https://theweather.agency/,"We design, build and brand — websites, digital products and AI tools — for companies that expect results. Rated #1 in Germany on Clutch.",Berlin,western_europe,"webflow,custom",200,The Weather &mdash; No-nonsense web design and product development,,
Wezz e-Commerce,https://www.wezz.co/,https://www.wezz.co/contact-us/,info@wezz.nl,,https://www.wezz.co/,"With more than 15 year of experience in Magento webshops, our Magento specialists can help you with bring your webshop to the next level. Contact us!",Amsterdam,western_europe,magento2,200,Magento agency in Amsterdam | Wezz e-Commerce,,
Wedigify,https://wedigify.nl/,https://wedigify.nl/contact/,info@wedigify.nl,,https://wedigify.nl/,"Wij zijn Wedigify, een technisch & datagedreven e-commerce agency uit Rotterdam, gespecialiseerd in Magento & Magento Hyvä.",Rotterdam,western_europe,magento2,200,Wedigify | Magento Agency | Magento E-commerce Specialisten,,
Shopcommerce,https://www.shopcommerce.nl/,https://shopcommerce.nl/contact,info@shopcommerce.nl,,https://www.shopcommerce.nl/,"Shopcommerce, sinds 2008, optimaliseert webwinkels met effectieve strategieën voor groei en conversie. Vraag een offerte aan.",Netherlands,western_europe,"magento2,shopify",200,"Shopcommerce, sinds 2008 e-commerce strategie en ontwikkeling",,
Studio Kipo,https://www.kipo.studio/,,,,,,Sofia,eastern_europe,"wordpress,custom",200,,,
Webdesign Studio,https://webdesigner.bg/,https://webdesigner.bg/contact.html,,,,"Design and coding of custom pages, WordPress, WooCommerce, Shopify, Wix, Squarespace and more! Get in touch today for online or offline meeting in Sofia!",Sofia,eastern_europe,"wordpress,woocommerce,shopify",200,"Web Designer: UI / UX Design, WordPress, WooCommerce, Shopify, Wix, HTML/CSS/JS,",,
AGMA Studio,https://agmastudio.com/,https://www.agmastudio.com/contacts/,info@agmastudio.com,,https://agmastudio.com/,"At the digital agency AGMA Studio, we’ll help you build your online presence and increase your sales and traffic by developing and maintaining your website.",Sofia,eastern_europe,wordpress,200,Digital Agency Agma Studio,,
Mooshfy,https://mooshfy.com/,https://mooshfy.com/contact/,hello@mooshfy.com,,https://mooshfy.com/,"Mooshfy designs, builds, and grows high-converting Shopify stores for ecommerce brands in 60+ countries — built to convert and rank on Google.",Lisbon,western_europe,shopify,200,"Shopify Agency | Design, Development &amp; Marketing — Mooshfy",,
Sweans,https://www.sweans.com/,https://www.sweans.com/contact-us/,ajay@sweans.com,,https://www.sweans.com/,"Leading eCommerce Agency in London, Sweans is a Shopify expert helping companies design, build, optimise, and scale eCommerce stores.",Lisbon,western_europe,shopify,200,Sweans | Award-winning eCommerce Agency &amp; Shopify Experts,,
Brandability,https://brandability.pt/,https://brandabilityagency.com/pt/contactos/,dublin@brandabilityagency.com,toronto@brandabilityagency.com lisboa@brandabilityagency.com,https://brandability.pt/,"Agência integrada que combina marketing e comunicação com design, publicidade e tecnologia para otimizar a sua marca. Escritórios em Lisboa e no Porto, em Portugal.",Lisbon,western_europe,custom,200,Ag&#xEA;ncia de Marketing - Brandability Portugal,,
UPQODE,https://upqode.com/,https://upqode.com/contact-us/,projects@upqode.com,,https://upqode.com/,"Award-Winning Web Design & Website Development Company. Full-stack Web Agency With Highly Experienced WordPress Developers, Coders, SEO experts & Designers.",Austin,us,wordpress,200,Web Design Agency - UPQODE,,
Austin Web Design,https://www.austinwebdesign.com/,https://www.austinwebdesign.com/contact-austin-web-design/,info@austinwebdesign.com,,https://www.austinwebdesign.com/,"Affordable website design, redesign and logo creations services",Austin,us,wordpress,200,Austin Web Design,,
hmpsn studio,https://hmpsn.studio/,https://www.hmpsn.studio/contact,,,,We specialize in custom web design and development to grow your business. Book a discovery call today.,Austin,us,wordpress,200,We build brands differently. | hmpsn studio,,
